기업명,출원수,평균출원일자,평균 인용수,출원일자숫자
Uber Technologies,51,2020-05-04,8.862745098,43955
Baidu,50,2020-02-09,4.18,43870
TOYOTA,49,2020-09-23,2.918367347,44097
GM Global Technology Operations LLC,39,2020-03-02,3.358974359,43892
Hyundai Motor,34,2020-06-24,0.823529412,44006
State Farm Mutual Automobile Insurance Company,34,2020-05-01,384.1470588,43952
Stradvision,34,2019-12-21,13.60606061,43820
TuSimple,27,2020-10-14,8.703703704,44118
"Micron Technology, Inc.",24,2020-06-04,30.95833333,43986
Waymo,21,2020-10-19,2.380952381,44123
Robert Bosch GmbH,16,2020-01-02,3.625,43832
Perceptive Automata,15,2020-07-15,3.266666667,44027
Samsung Electronics,15,2019-10-31,9.266666667,43769
Aurora,15,2020-03-07,38.26666667,43897
Intel Corporation,14,2020-05-03,2.214285714,43954
International Business Machines Corporation,11,2020-01-22,2.909090909,43852
Metawave Corporation,11,2019-12-02,6.181818182,43801
Motional AD,11,2021-03-22,14.72727273,44277
Tesla,10,2020-03-09,3.4,43899
Zoox,9,2020-03-31,2.444444444,43921
LG Electronics,9,2019-08-24,3.555555556,43701
Mobileye Vision,7,2020-06-25,3.142857143,44007
Built Robotics Inc.,6,2021-03-17,8.666666667,44272
Apollo Intelligent,6,2020-08-21,9.666666667,44064
Wipro Limited,6,2020-08-03,2.166666667,44046
Retrospect Technology,5,2019-11-19,8,43788
VOLKSWAGEN AG,5,2019-09-24,7.4,43732
nuTonomy,4,2019-11-17,0,43786
WeRide,4,2020-02-23,0,43884
"Alpine Electronics of Silicon Valley, Inc.",4,2020-03-13,5.5,43903
Blue River Technology Inc.,4,2021-02-25,0,44252
FORD GLOBAL TECHNOLOGIES,4,2020-05-27,4,43978
HONDA MOTOR,4,2019-08-17,2.25,43694
SF Motors,4,2019-03-24,2,43548
Huawei Technologies,4,2021-11-14,0,44514
Hyundai Motor&Motional AD,45,2020-08-29,4.2222222,44072
Baidu&Apollo,56,2020-03-01,4.767857143,43891 
